CO2 Time,Total Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas, CH Pressure
(hrs),(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
105.4447279,466.9828985,4095.597751,3186.545319,732.7213585,1104.704913,334106.718,254.7151411
105.4613946,466.9995651,4095.597751,3186.430756,732.9817712,1104.879792,333913.5668,254.7559792
105.4780612,467.0162318,4095.597751,3184.787021,730.6228848,1105.054671,333898.0382,254.8376549
105.4947279,467.0328985,4095.597751,3186.420794,730.9854469,1105.22955,333888.7262,254.9193303
105.5113946,467.0495651,4095.597751,3187.048402,730.290582,1105.404429,333896.0097,255.0146178
105.5280612,467.0662318,4095.597751,3187.307414,730.7821848,1105.57826,333845.7838,254.7559792
105.5447279,467.0828985,4095.597751,3187.377149,729.8380086,1105.754186,333865.7144,254.7559792
105.5613946,467.0995651,4095.597751,3187.556465,729.5915274,1105.928018,333879.5594,254.8376549
105.5780612,467.1162318,4095.597751,3187.496693,730.5619727,1106.102897,333890.233,254.9193303
105.5947279,467.1328985,4095.597751,3187.566427,730.8841121,1106.277776,333876.6794,254.9737804
105.6113946,467.1495651,4095.597751,3187.616237,730.2089865,1106.449513,333877.2561,255.0554551
105.6280612,467.1662318,4095.597751,3187.596313,730.1819948,1106.624392,333898.2917,255.0146178
105.6447279,467.1828985,4095.597751,3187.616237,730.3544655,1106.799271,333871.2371,255.0554551
105.6613946,467.1995651,4095.597751,3187.596313,731.3646296,1106.97415,333900.0433,255.1779664
105.6780612,467.2162318,4095.597751,3187.596313,730.3404061,1107.149029,333898.8308,255.0554551
105.6947279,467.2328985,4095.597751,3187.666048,731.1112376,1107.323908,333872.7248,255.0554551
105.7113946,467.2495651,4095.597751,3187.636161,730.386205,1107.498787,333888.6117,255.0554551
105.7280612,467.2662318,4095.597751,3187.666048,730.3889962,1107.673665,333891.2256,255.0962923
105.7447279,467.2828985,4095.597751,3187.516617,731.191636,1107.848544,336284.7556,254.8784927
105.7613946,467.2995651,4095.597751,3186.976177,732.1714477,1108.023423,335013.5758,254.7968171
105.7780612,467.3162318,4095.597751,3186.488038,732.3958725,1108.198302,334910.4247,254.674303
105.7947279,467.3328985,4095.597751,3186.097028,733.2721112,1108.373181,335018.7975,254.8376549
105.8113946,467.3495651,4095.597751,3185.085882,732.0373695,1108.544918,335081.5707,254.6334647
105.8280612,467.3662318,4095.597751,3185.683604,732.5194269,1108.719797,335115.962,254.8376549
105.8447279,467.3828985,4095.597751,3186.102009,732.2532542,1108.894676,335214.3824,254.7559792
105.8613946,467.3995651,4095.597751,3186.231515,731.618048,1109.069555,335284.4858,254.7968171
105.8780612,467.4162318,4095.597751,3186.370984,732.0499596,1109.243387,335343.4311,254.674303
105.8947279,467.4328985,4095.597751,3186.530376,731.7938196,1109.418266,335364.0285,254.674303
105.9113946,467.4495651,4095.597751,3186.759503,732.4252151,1109.593145,335430.8869,254.5517879
105.9280612,467.4662318,4095.597751,3186.898971,730.5932007,1109.768023,335436.2838,254.7968171
105.9447279,467.4828985,4095.597751,3186.978668,731.6932124,1109.942902,335458.1166,254.7151411
105.9613946,467.4995651,4095.597751,3187.018516,731.2673981,1110.117781,335492.2151,254.7968171
