CO2 Time,Total Time,Cum. Inj Water at inlet,Cum. Prod Water ,Cum Oil prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),hrs,(rml),ml,(sep_ml),(rml),(std.cc),atm
4.6331,1378.8964,2812.3138,2633.6144,84.2519,9.7091,0.0312,256.4096
4.6498,1378.9130,2812.3138,2633.4772,84.4177,9.7437,0.0274,256.4096
4.6665,1378.9297,2812.3138,2633.6258,84.2248,9.7793,0.0139,256.4096
4.6831,1378.9464,2812.3138,2633.3686,84.5591,9.8139,0.0146,256.4505
4.6998,1378.9630,2812.3138,2633.5386,84.3934,9.8485,0.0239,256.4096
4.7165,1378.9797,2812.3138,2633.3486,84.6505,9.8841,0.0084,256.4096
4.7331,1378.9964,2812.3138,2633.5728,84.4307,9.9176,0.0191,256.4096
4.7498,1379.0130,2812.3138,2634.0072,83.9977,9.9533,0.0247,256.4096
4.7665,1379.0297,2812.3138,2633.6758,84.3905,9.9878,0.0281,256.4096
4.7831,1379.0464,2812.3138,2633.7758,84.2734,10.0235,0.0153,256.4096
4.7998,1379.0630,2812.3138,2634.0272,84.0591,10.0580,0.0285,256.4096
4.8165,1379.0797,2812.3138,2634.0629,84.0605,10.0926,0.0068,256.4096
4.8331,1379.0964,2812.3138,2633.6701,84.4719,10.1282,0.0187,256.4096
4.8498,1379.1130,2812.3138,2633.9229,84.2891,10.1628,0.0221,256.4096
4.8665,1379.1297,2812.3138,2634.1715,83.9834,10.1974,0.0175,256.4096
4.8831,1379.1464,2812.3138,2633.9329,84.2805,10.2330,0.0028,256.4096
4.8998,1379.1630,2812.3138,2634.1272,84.1277,10.2676,0.0248,256.4096
4.9165,1379.1797,2812.3138,2633.6429,84.5805,10.3022,0.0101,256.4096
4.9331,1379.1964,2812.3138,2633.6429,84.5805,10.3378,0.0194,256.4096
4.9498,1379.2130,2812.3138,2634.2215,84.0605,10.3724,0.0235,256.3686
4.9665,1379.2297,2812.3138,2633.7915,84.5019,10.4080,0.0061,256.4096
4.9831,1379.2464,2812.3138,2634.2144,84.1362,10.4426,0.0312,256.4096
4.9998,1379.2630,2812.3138,2634.1815,84.1462,10.4772,0.0243,256.4096
