Time,Cum. Inj. Water,Cum Prod Water,Cum. Oil Prod. ,Cum. Inj CO2,Cum. Prod Gas,Pressure
(hrs),(rml),ml,(sep_ml),(rml),(std.cc),atm
6.680,83.972,-0.471,64.443,0.000,6741.418,296.230
6.696,84.182,-0.382,64.338,0.000,6780.906,296.270
6.713,84.391,-0.442,64.321,0.000,6796.916,296.311
6.730,84.601,-0.292,64.844,0.000,6793.721,296.270
6.746,84.811,-0.362,65.456,0.000,6801.295,296.311
6.763,85.021,-0.452,64.593,0.000,6835.957,296.311
6.780,85.230,-0.282,65.304,0.000,6849.908,296.270
6.796,85.441,-0.192,65.179,0.000,6857.454,296.311
6.813,85.650,-0.561,65.631,0.000,6859.184,296.270
6.830,85.861,-0.442,65.954,0.000,6866.072,296.433
6.846,86.070,-0.153,65.669,0.000,6910.726,296.311
6.863,86.281,-0.442,65.880,0.000,6915.823,296.270
6.880,86.490,-0.143,65.864,0.000,6919.281,296.311
6.896,86.696,-0.481,66.048,0.000,6967.302,296.393
6.913,86.906,-0.481,66.182,0.000,6975.205,296.311
6.930,87.115,-0.312,66.215,0.000,6977.537,296.230
6.946,87.326,-0.422,66.976,0.000,6986.106,296.270
6.963,87.535,-0.372,66.562,0.000,7036.198,296.270
6.980,87.745,-0.491,67.233,0.000,7046.358,296.515
6.996,87.954,-0.362,66.410,0.000,7026.730,296.352
7.013,88.164,-0.312,67.361,0.000,7045.798,296.352
7.030,88.373,-0.312,67.244,0.000,7081.569,296.433
7.046,88.583,-0.631,67.576,0.000,7125.433,296.352
7.063,88.792,-0.342,67.810,0.000,7125.818,296.270
7.080,89.003,-0.591,68.282,0.000,7142.102,296.433
7.096,89.212,-0.591,68.297,0.000,7176.921,296.270
7.113,89.422,-0.432,68.221,0.000,7194.464,296.393
7.130,89.632,-0.491,67.776,0.000,7179.273,296.230
7.146,89.840,-0.332,68.358,0.000,7177.270,296.230
7.163,90.051,-0.332,68.490,0.000,7189.325,296.270
7.180,90.260,-0.382,69.072,0.000,7239.506,296.270
7.196,90.470,-0.452,68.946,0.000,7253.049,296.270
7.213,90.677,-0.322,68.920,0.000,7274.650,296.311
7.230,90.887,-0.382,69.024,0.000,7295.774,296.270
7.246,91.096,-0.511,69.496,0.000,7290.310,296.270
7.263,91.306,-0.252,69.351,0.000,7304.329,296.230
7.280,91.516,-0.452,69.882,0.000,7306.063,296.230
7.296,91.726,-0.242,70.316,0.000,7313.940,296.433
7.313,91.935,-0.442,69.810,0.000,7364.427,296.393
7.330,92.145,-0.252,70.144,0.000,7355.890,296.433
7.346,92.354,-0.302,69.959,0.000,7387.687,296.148
7.363,92.564,-0.412,70.670,0.000,7415.329,296.311
7.380,92.774,-0.382,70.963,0.000,7426.902,296.311
7.396,92.984,-0.382,71.097,0.000,7457.410,296.311
7.413,93.192,-0.561,71.039,0.000,7445.515,296.311
7.430,93.400,-0.382,70.534,0.000,7470.189,296.230
7.446,93.611,-0.302,71.316,0.000,7478.200,296.230
7.463,93.820,-0.302,70.861,0.000,7510.995,296.270
7.480,94.031,-0.581,72.331,0.000,7526.934,296.352
